,car,body,mileage,engV,engType,registration,year,drive
8451,29,1,30,1.6,1,1,2014,0
179,13,0,68,2.5,0,1,2010,0
8799,33,4,1,1.5,0,1,2004,0
2688,3,3,1,3.5,3,1,1999,2
7596,12,5,270,1.9,0,1,1999,0
2388,43,5,210,1.6,1,1,2004,0
2971,17,0,48,2.0,1,1,2011,1
7119,12,5,120,2.0,0,1,2001,0
7924,27,0,1,2.0,3,1,1986,1
8210,38,1,62,2.0,3,1,2010,1
3702,42,3,93,1.6,3,1,2007,0
6635,43,5,176,1.6,0,1,2012,0
1705,31,5,162,1.6,0,1,2008,0
6210,35,4,155,1.6,0,1,2012,0
3174,39,3,31,1.6,3,1,2009,0
4226,10,1,99,0.8,3,1,2008,0
7809,3,0,76,4.4,3,1,2010,1
4003,40,3,1,1.8,3,1,2008,0
934,13,1,157,1.25,1,1,2007,0
5052,27,3,145,2.0,1,1,2007,0
8250,43,4,58,2.0,0,1,2013,0
3580,10,1,61,0.8,3,1,2012,0
8072,26,5,307,2.2,0,1,2007,2
8804,13,3,3,2.0,3,1,1986,2
6843,16,3,193,2.0,1,1,1988,0
3155,43,2,290,1.9,0,1,1995,0
7232,43,5,290,1.9,0,1,2008,0
6553,30,1,20,1.5,3,1,2012,0
610,35,3,57,1.4,3,1,2012,0
1532,43,4,160,1.4,3,1,2011,0
6120,35,1,148,1.2,3,1,2004,0
5424,3,0,250,3.0,3,0,2003,1
4722,42,4,1,1.9,0,1,2001,2
833,2,3,190,2.5,0,1,2003,0
3341,29,3,53,1.4,3,1,2006,0
2858,6,1,83,1.5,3,1,2009,0
2399,40,0,89,4.5,0,1,2012,1
1085,35,3,150,1.78,3,1,2004,0
4249,38,0,85,2.5,3,1,2008,1
6998,23,3,130,4.6,3,1,2009,1
7208,43,5,505,2.4,0,1,1995,0
4701,29,3,167,2.2,3,1,2008,0
4808,22,0,164,3.6,0,0,2008,1
6717,13,0,36,2.5,3,1,2012,1
4764,27,0,95,2.5,0,1,2008,1
8727,30,3,190,3.3,3,1,1990,0
6157,17,0,39,2.0,3,1,2011,1
395,22,0,60,4.4,0,1,2014,1
5687,36,2,82,1.0,3,1,2012,2
1518,40,2,82,2.0,1,1,2007,1
3157,18,0,190,3.5,1,1,2005,1
3942,40,3,95,2.4,3,1,2007,0
8748,35,1,100,1.4,3,1,2012,0
2285,3,3,360,2.5,3,1,1992,2
4835,21,5,125,2.0,3,1,2008,0
4550,6,2,109,3.2,3,1,2007,1
7549,10,3,240,2.0,1,1,1999,0
2874,21,1,182,2.0,3,1,2006,1
5637,42,2,5,1.5,3,1,1990,0
7830,42,3,155,1.5,3,1,2005,0
6791,3,2,100,3.0,3,1,2007,2
6249,27,0,180,3.0,1,1,2008,1
4033,33,3,96,1.4,3,1,2007,0
6262,37,0,22,2.0,0,1,2013,0
4389,10,2,140,0.8,3,1,2002,0
6667,40,3,134,2.4,1,1,2007,0
1850,2,4,40,3.0,0,1,2010,1
1774,40,3,17,2.5,3,1,2015,0
7248,43,5,190,1.9,0,1,2008,0
2436,17,3,92,1.4,3,1,2008,0
5273,35,3,140,1.5,1,1,2007,0
3631,3,3,300,2.5,3,0,1997,2
3036,40,3,225,3.0,1,1,2004,0
8326,5,4,290,2.4,3,1,2008,0
3175,31,0,0,1.2,3,1,2016,0
7343,15,3,35,2.0,3,1,2015,0
1564,40,1,67,1.6,3,1,2012,0
2092,3,3,245,2.5,3,1,2007,2
6675,26,3,405,2.0,0,1,1992,2
2469,43,1,29,1.4,3,1,2014,0
5936,22,0,350,2.5,0,0,1995,1
2291,35,4,150,1.4,3,1,2010,0
8126,35,1,89,1.4,3,1,2010,0
6517,25,3,169,2.0,3,1,2005,0
3274,2,3,226,1.8,3,1,1995,0
2518,42,3,100,1.5,3,1,2008,0
4732,21,3,90,2.0,3,1,2008,0
5180,16,1,210,1.4,1,1,1998,0
6810,26,4,122,2.3,3,1,1987,2
533,22,0,171,3.6,0,1,2008,1
3697,6,3,131,1.5,1,1,2006,0
5399,13,3,200,3.0,1,1,1993,0
3100,43,3,30,2.0,0,1,2014,0
3857,3,2,300,1.8,3,1,1994,2
1679,35,3,1,1.6,3,1,2015,0
2810,2,4,390,1.9,0,0,1998,0
3744,13,1,50,0.9,3,1,2013,0
2069,25,3,65,2.0,1,1,2009,0
54,43,3,300,1.9,0,0,1998,0
7429,10,3,148,1.6,1,1,2008,0
5291,29,3,319,2.0,3,1,1989,0
1064,23,0,141,3.0,1,1,2004,1
1366,35,3,98,1.8,3,1,2010,0
6361,23,0,145,3.5,3,1,2007,1
6050,43,5,185,1.9,0,1,2009,1
4084,27,0,111,2.4,3,1,2011,1
1912,17,0,192,2.0,0,1,2008,1
6105,8,1,114,1.6,3,1,2006,0
6483,6,3,150,1.5,3,1,2004,0
435,43,2,189,2.0,0,1,2011,0
2667,43,4,0,2.0,0,1,2014,0
264,13,3,109,1.6,1,1,2011,0
1745,43,1,22,1.2,2,1,2014,0
1121,40,0,85,3.0,0,1,2012,1
7161,2,4,310,2.5,2,0,1998,0
6720,43,0,108,3.0,0,1,2012,1
1144,43,0,1,4.2,3,1,2004,1
7485,33,1,250,1.4,3,1,1987,0
5462,16,3,97,2.0,3,1,2008,0
6463,43,0,70,1.4,3,1,2012,0
6486,33,3,277,1.5,0,1,2005,0
6916,25,3,152,2.3,3,1,2008,1
8460,26,3,222,5.5,3,1,2006,2
7550,33,4,34,1.5,0,1,2013,0
5922,12,1,170,1.0,3,1,1994,0
2559,45,1,32,1.5,1,1,2012,0
72,26,5,197,2.2,0,1,2002,0
4518,3,0,125,3.0,3,1,2007,1
5268,26,3,266,5.0,1,1,2004,2
2076,35,3,58,1.8,3,1,2012,0
8847,23,3,150,3.5,1,1,2008,0
4022,33,3,160,1.4,1,1,2008,0
372,26,3,288,3.2,1,1,2001,2
6731,42,3,82,1.5,3,1,2007,2
2716,3,0,1,3.0,3,1,2016,1
1509,34,4,78,1.2,0,1,2013,0
6630,40,3,43,1.3,3,1,2014,0
2427,7,4,76,2.7,3,1,2009,2
8156,6,0,150,1.7,3,1,2004,1
